mfmo	mfmo.owl	http://purl.obolibrary.org/obo/mfmo.owl
mfoem	mfoem.owl	http://purl.obolibrary.org/obo/mfoem.owl
mfomd	mfomd.owl	http://purl.obolibrary.org/obo/mfomd.owl
mi	mi.owl	http://purl.obolibrary.org/obo/mi.owl
miapa	miapa.owl	http://purl.obolibrary.org/obo/miapa.owl
micro	micro.owl	http://purl.obolibrary.org/obo/micro.owl
mmo	mmo.owl	http://purl.obolibrary.org/obo/mmo.owl
mmusdv	mmusdv.owl	http://purl.obolibrary.org/obo/mmusdv.owl
mod	mod.owl	http://purl.obolibrary.org/obo/mod.owl
mondo	mondo.owl	http://purl.obolibrary.org/obo/mondo.owl
mop	mop.owl	http://purl.obolibrary.org/obo/mop.owl
mp	mp.owl	http://purl.obolibrary.org/obo/mp.owl
mpath	mpath.owl	http://purl.obolibrary.org/obo/mpath.owl
mpio	mpio.owl	http://purl.obolibrary.org/obo/mpio.owl
mro	mro.owl	http://purl.obolibrary.org/obo/mro.owl
ms	ms.owl	http://purl.obolibrary.org/obo/ms.owl
nbo	nbo.owl	http://purl.obolibrary.org/obo/nbo.owl
ncbitaxon	ncbitaxon.owl	http://purl.obolibrary.org/obo/ncbitaxon.owl
ncit	ncit.owl	http://purl.obolibrary.org/obo/ncit.owl
ncro	ncro/dev/ncro.owl	http://purl.obolibrary.org/obo/ncro/dev/ncro.owl
nomen	nomen.owl	http://purl.obolibrary.org/obo/nomen.owl
oae	oae.owl	http://purl.obolibrary.org/obo/oae.owl
oarcs	oarcs.owl	http://purl.obolibrary.org/obo/oarcs.owl
oba	oba.owl	http://purl.obolibrary.org/obo/oba.owl
obcs	obcs.owl	http://purl.obolibrary.org/obo/obcs.owl
obib	obib.owl	http://purl.obolibrary.org/obo/obib.owl
ogg	ogg.owl	http://purl.obolibrary.org/obo/ogg.owl
ogms	ogms.owl	http://purl.obolibrary.org/obo/ogms.owl
ogsf	ogsf.owl	http://purl.obolibrary.org/obo/ogsf.owl
ohd	ohd.owl	http://purl.obolibrary.org/obo/ohd.owl
ohmi	ohmi.owl	http://purl.obolibrary.org/obo/ohmi.owl
ohpi	ohpi.owl	http://purl.obolibrary.org/obo/ohpi.owl
olatdv	olatdv.owl	http://purl.obolibrary.org/obo/olatdv.owl
omiabis	omiabis.owl	http://purl.obolibrary.org/obo/omiabis.owl
omit	omit.owl	http://purl.obolibrary.org/obo/omit.owl
omo	omo.owl	http://purl.obolibrary.org/obo/omo.owl
omp	omp.owl	http://purl.obolibrary.org/obo/omp.owl
omrse	omrse.owl	http://purl.obolibrary.org/obo/omrse.owl
one	one.owl	http://purl.obolibrary.org/obo/one.owl
ons	ons.owl	http://purl.obolibrary.org/obo/ons.owl
ontoneo	ontoneo.owl	http://purl.obolibrary.org/obo/ontoneo.owl
oostt	oostt.owl	http://purl.obolibrary.org/obo/oostt.owl
opl	opl.owl	http://purl.obolibrary.org/obo/opl.owl
opmi	opmi.owl	http://purl.obolibrary.org/obo/opmi.owl
ornaseq	ornaseq.owl	http://purl.obolibrary.org/obo/ornaseq.owl
ovae	ovae.owl	http://purl.obolibrary.org/obo/ovae.owl
pco	pco.owl	http://purl.obolibrary.org/obo/pco.owl
pdro	pdro.owl	http://purl.obolibrary.org/obo/pdro.owl
pdumdv	pdumdv.owl	http://purl.obolibrary.org/obo/pdumdv.owl
peco	peco.owl	http://purl.obolibrary.org/obo/peco.owl
phipo	phipo.owl	http://purl.obolibrary.org/obo/phipo.owl
plana	plana.owl	http://purl.obolibrary.org/obo/plana.owl
planp	planp.owl	http://purl.obolibrary.org/obo/planp.owl
poro	poro.owl	http://purl.obolibrary.org/obo/poro.owl
ppo	ppo.owl	http://purl.obolibrary.org/obo/ppo.owl
psdo	psdo.owl	http://purl.obolibrary.org/obo/psdo.owl
pso	pso.owl	http://purl.obolibrary.org/obo/pso.owl
pw	pw.owl	http://purl.obolibrary.org/obo/pw.owl
rbo	rbo.owl	http://purl.obolibrary.org/obo/rbo.owl
ro	ro.owl	http://purl.obolibrary.org/obo/ro.owl
rs	rs.owl	http://purl.obolibrary.org/obo/rs.owl
rxno	rxno.owl	http://purl.obolibrary.org/obo/rxno.owl
sepio	sepio.owl	http://purl.obolibrary.org/obo/sepio.owl
so	so.owl	http://purl.obolibrary.org/obo/so.owl
spd	spd.owl	http://purl.obolibrary.org/obo/spd.owl
stato	stato.owl	http://purl.obolibrary.org/obo/stato.owl
swo	swo.owl	http://purl.obolibrary.org/obo/swo.owl
symp	symp.owl	http://purl.obolibrary.org/obo/symp.owl
taxrank	taxrank.owl	http://purl.obolibrary.org/obo/taxrank.owl
to	to.owl	http://purl.obolibrary.org/obo/to.owl
trans	trans.owl	http://purl.obolibrary.org/obo/trans.owl
tto	tto.owl	http://purl.obolibrary.org/obo/tto.owl
uberon	uberon.owl	http://purl.obolibrary.org/obo/uberon.owl
uo	uo.owl	http://purl.obolibrary.org/obo/uo.owl
upheno	upheno.owl	http://purl.obolibrary.org/obo/upheno.owl
vo	vo.owl	http://purl.obolibrary.org/obo/vo.owl
vt	vt.owl	http://purl.obolibrary.org/obo/vt.owl
vto	vto.owl	http://purl.obolibrary.org/obo/vto.owl
wbbt	wbbt.owl	http://purl.obolibrary.org/obo/wbbt.owl
wbls	wbls.owl	http://purl.obolibrary.org/obo/wbls.owl
wbphenotype	wbphenotype.owl	http://purl.obolibrary.org/obo/wbphenotype.owl
xco	xco.owl	http://purl.obolibrary.org/obo/xco.owl
xlmod	xlmod.obo	http://purl.obolibrary.org/obo/xlmod.obo
xpo	xpo.owl	http://purl.obolibrary.org/obo/xpo.owl
zeco	zeco.owl	http://purl.obolibrary.org/obo/zeco.owl
zfs	zfs.owl	http://purl.obolibrary.org/obo/zfs.owl
zp	zp.owl	http://purl.obolibrary.org/obo/zp.owl
fobi	fobi.owl	http://purl.obolibrary.org/obo/fobi.owl
gsso	gsso.owl	http://purl.obolibrary.org/obo/gsso.owl
hp	hp.owl	http://purl.obolibrary.org/obo/hp.owl
kisao	kisao.owl	http://purl.obolibrary.org/obo/kisao.owl
mamo	mamo.owl	http://purl.obolibrary.org/obo/mamo.owl
sbo	sbo.owl	http://purl.obolibrary.org/obo/sbo.owl
scdo	scdo.owl	http://purl.obolibrary.org/obo/scdo.owl
txpo	txpo.owl	http://purl.obolibrary.org/obo/txpo.owl
